sphere,role,priority,signals,tags,default_template,version,specialist_profile,recommended_frameworks,framework_priority,six_hats_color
business,Product Strategist,high,"unclear value,need positioning","strategy,product",Business / Strategy,v1,product-strategist,"OKRs,Lean_Canvas,VPC,BMC",Lean_Canvas,Blue
business,Market Analyst,medium,"unknown market,competition","market,research",Business / Strategy,v1,market-analyst,"SWOT,Porters_Five_Forces,PESTLE,BMC",SWOT,White
business,Operations Lead,medium,"delivery risk,process gaps","ops,delivery",Ops / Delivery Helper,v1,operations-lead,"Kanban,Theory_of_Constraints,Value_Stream_Mapping,OKRs",Theory_of_Constraints,Blue
business,Finance Analyst,medium,"budget uncertainty,unit economics","finance,unit-econ",Business / Strategy,v1,finance-analyst,"NPV,DCF,Unit_Economics,Monte_Carlo",NPV,White
business,Legal / Compliance,medium,"regulatory exposure,contracts","legal,compliance",Legal / Compliance,v1,legal-compliance,"Risk_Matrix,SWOT,Compliance_Framework",Risk_Matrix,Black
business,Growth / GTM,medium,"go-to-market unclear,acquisition plan needed","growth,gtm",Business / Strategy,v1,growth-gtm,"AARRR_Pirate_Metrics,OKRs,Lean_Canvas,Growth_Hacking",AARRR_Pirate_Metrics,Green
finance,Portfolio Manager,high,"investment decisions,allocation needed","portfolio,allocation",Finance / Investment,v1,portfolio-manager,"Real_Options,NPV,Kelly_Criterion,MPT,Monte_Carlo",Real_Options,Yellow
finance,Risk Advisor,high,"volatility exposure,risk unclear","risk,controls",Finance / Investment,v1,risk-advisor,"Monte_Carlo,Risk_Matrix,VaR,Scenario_Analysis",Monte_Carlo,Black
finance,Tax / Legal,medium,"tax impact,regulatory constraints","tax,legal",Legal / Compliance,v1,tax-legal,"Compliance_Framework,Risk_Matrix,Decision_Trees",Compliance_Framework,White
finance,Budget Planner,medium,"budget gaps,cashflow planning","budget,cashflow",Finance / Investment,v1,budget-planner,"Zero_Based_Budgeting,NPV,DCF,Envelope_Budgeting",Zero_Based_Budgeting,White
career,Career Coach,medium,"role unclear,trajectory planning","career,planning",Career / Professional Growth,v1,career-coach,"OKRs,SMART_Goals,Ikigai,SWOT",SMART_Goals,Blue
career,Skill Development,medium,"skill gaps,new responsibilities","learning,skills",Learning / Education,v1,skill-development,"Deliberate_Practice,Growth_Mindset,70-20-10_Learning,Feynman_Technique",Deliberate_Practice,Green
career,Networking / Outreach,low,"stakeholder access,visibility needed","networking,visibility",Career / Professional Growth,v1,networking-outreach,"Six_Degrees,Social_Capital_Theory,Weak_Ties",Six_Degrees,Yellow
career,Portfolio / CV,low,"credentialing,profile building","portfolio,branding",Career / Professional Growth,v1,portfolio-cv,"Personal_Branding,Storytelling,Portfolio_Theory",Personal_Branding,Yellow
