post_id,publish_date,day_number,views,clicks,ctr_percent,comments,shares,saves,engagement_rate,sentiment,notes
1,2026-01-28,1,245,11,4.5,2,1,3,2.4,positive,"Отличный старт"
1,2026-01-29,2,412,19,4.6,5,3,7,3.7,positive,"Растёт интерес"
1,2026-01-30,3,680,31,4.6,12,7,15,4.2,positive,"Пост набирает обороты"
1,2026-01-31,4,945,43,4.5,18,11,22,5.1,positive,"Стабильный рост"
2,2026-01-29,1,189,7,3.7,1,0,2,1.6,neutral,"Средний результат"
2,2026-01-30,2,267,9,3.4,2,1,3,2.2,neutral,"Слегка упал CTR"
3,2026-01-29,1,312,13,4.2,3,2,5,2.9,positive,"Хороший старт"
3,2026-01-30,2,521,22,4.2,8,5,12,4.2,positive,"Стабильный рост"
3,2026-01-31,3,756,34,4.5,14,9,18,4.8,positive,"Сильный результат"
8,2026-02-01,1,523,25,4.8,7,4,12,3.8,positive,"ТОП пост! Отличный CTR"
8,2026-02-02,2,892,43,4.8,15,9,24,5.2,positive,"Продолжает расти"
