Framework_A,Framework_B,Synergy_Score,Synergy_Type,How_They_Work_Together,Example_Use_Case
TRIZ,Business_Model_Canvas,5,contradiction_resolution,"TRIZ resolves contradictions in business model (speed vs quality), BMC structures the resolution","Startup needs fast launch AND high quality → TRIZ Principle #35 Parameter Change: MVP with quality core + fast iterations on edges"
Six_Hats,SWOT,4,systematic_analysis,"White Hat = facts for S/W, Black Hat = threats, Yellow Hat = opportunities, Green Hat = creative strategies","Career change decision: SWOT baseline → Six Hats explores each quadrant deeply"
GTD,SCAMPER,5,creativity_unlock,"GTD reduces cognitive load → mental space for creativity, SCAMPER during Clarify generates innovative next actions","Inbox item 'improve team communication' → SCAMPER: Can I ELIMINATE status meetings? → Test async video updates"
Pomodoro,Deliberate_Practice,5,structured_execution,"4-6 pomodoros = ideal deliberate practice session length, provides focus structure for weakness-targeted reps","Learn coding: 6 pomodoros daily on weakest area (async/await), video review feedback loop"
Atomic_Habits,HBM,4,capability_automation,"HBM addresses 'Am I capable?' (self-efficacy), Atomic Habits provides 4 Laws to make behavior automatic","Exercise habit: HBM builds confidence → Atomic Habits makes routine automatic via cue-response loop"
SMART,Progressive_Overload,5,destination_path,"SMART = destination, Progressive Overload = path to get there with measurable increments","SMART: 'Run 5K in 25min by Dec' → Progressive Overload: +5% distance weekly, interval training progression"
Growth_Mindset,Deliberate_Practice,5,foundation_enabler,"Growth Mindset = foundation belief that enables effortful practice, removes fear of failure","Musician struggles with complex piece → Growth Mindset reframes mistakes as learning → commits to 10,000 deliberate reps"
Eisenhower,GTD,4,prioritize_execute,"Eisenhower prioritizes what matters, GTD provides execution system for chosen priorities","Weekly review: Eisenhower identifies Q2 activities → GTD converts to next actions in @contexts"
PDCA,Agile,5,continuous_improvement,"PDCA = improvement cycle, Agile = iterative execution framework, combine for rapid learning loops","Product development: Sprint = Plan-Do, Retrospective = Check-Act, next sprint incorporates learnings"
Five_Whys,Ishikawa,4,root_cause_analysis,"Five Whys drills depth on single path, Ishikawa maps breadth across categories, together = complete picture","Quality issue: Ishikawa identifies 5 potential categories → Five Whys on top 2 suspects → root cause"
Pareto,Time_Blocking,5,focus_multiplier,"Pareto identifies vital 20%, Time Blocking protects dedicated time for high-impact work","Analysis shows 20% of clients = 80% revenue → Time Block 3hrs daily for top client relationship work"
